"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1968,95,"BRWhite",0.084,0.166,0.083,-0.239,0.419
1969,95,"BRWhite",0.133,0.169,0.133,-0.198,0.468
1970,95,"BRWhite",0.45,0.171,0.449,0.117,0.793
1971,95,"BRWhite",0.637,0.163,0.634,0.323,0.964
1972,95,"BRWhite",0.968,0.169,0.965,0.653,1.313
1973,95,"BRWhite",0.563,0.158,0.561,0.256,0.872
1974,95,"BRWhite",0.606,0.176,0.598,0.273,0.959
1975,95,"BRWhite",0.492,0.155,0.491,0.193,0.805
1976,95,"BRWhite",0.345,0.15,0.342,0.053,0.645
1977,95,"BRWhite",0.008,0.162,0.007,-0.305,0.331
1978,95,"BRWhite",-0.051,0.154,-0.052,-0.351,0.25
1979,95,"BRWhite",0.246,0.149,0.243,-0.04,0.537
1980,95,"BRWhite",0.218,0.163,0.219,-0.097,0.535
1981,95,"BRWhite",0.263,0.151,0.259,-0.027,0.563
1982,95,"BRWhite",0.668,0.169,0.665,0.345,1.005
1983,95,"BRWhite",0.897,0.179,0.895,0.55,1.259
1984,95,"BRWhite",1.082,0.201,1.077,0.695,1.49
1985,95,"BRWhite",1.299,0.2,1.295,0.925,1.701
1986,95,"BRWhite",1.271,0.191,1.268,0.915,1.655
1987,95,"BRWhite",1.029,0.201,1.027,0.654,1.429
1988,95,"BRWhite",1.112,0.197,1.108,0.731,1.513
1989,95,"BRWhite",0.883,0.181,0.874,0.549,1.254
1990,95,"BRWhite",0.616,0.186,0.614,0.26,0.989
1991,95,"BRWhite",0.634,0.193,0.633,0.269,1.018
1992,95,"BRWhite",0.581,0.23,0.572,0.144,1.056
1937,75,"CEHughes2",-0.366,0.229,-0.36,-0.82,0.063
1938,75,"CEHughes2",-0.176,0.19,-0.175,-0.549,0.198
1939,75,"CEHughes2",0.349,0.193,0.35,-0.028,0.731
1940,75,"CEHughes2",0.944,0.241,0.937,0.495,1.444
1956,93,"CEWhittaker",0.966,0.272,0.959,0.455,1.531
1957,93,"CEWhittaker",1.02,0.194,1.013,0.652,1.412
1958,93,"CEWhittaker",1.286,0.214,1.28,0.889,1.718
1959,93,"CEWhittaker",1.37,0.213,1.366,0.969,1.793
1960,93,"CEWhittaker",1.209,0.235,1.204,0.766,1.692
1961,93,"CEWhittaker",1.147,0.333,1.136,0.523,1.815
1991,108,"CThomas",2.739,0.466,2.722,1.89,3.676
1992,108,"CThomas",3.034,0.456,3.018,2.204,3.968
1993,108,"CThomas",3.419,0.445,3.403,2.607,4.349
1994,108,"CThomas",3.643,0.445,3.624,2.822,4.553
1995,108,"CThomas",3.737,0.459,3.724,2.865,4.678
1996,108,"CThomas",3.806,0.47,3.794,2.914,4.765
1997,108,"CThomas",3.793,0.485,3.786,2.87,4.788
1998,108,"CThomas",3.819,0.489,3.814,2.896,4.836
1999,108,"CThomas",3.772,0.499,3.76,2.819,4.787
2000,108,"CThomas",3.797,0.499,3.79,2.866,4.81
2001,108,"CThomas",3.767,0.518,3.756,2.802,4.808
2002,108,"CThomas",3.898,0.51,3.883,2.929,4.947
2003,108,"CThomas",3.92,0.509,3.908,2.945,4.93
2004,108,"CThomas",3.966,0.511,3.947,3.004,5.002
2005,108,"CThomas",4.002,0.507,3.981,3.033,5.019
2006,108,"CThomas",3.976,0.502,3.958,3.044,5.014
2007,108,"CThomas",3.842,0.504,3.822,2.901,4.874
2008,108,"CThomas",3.616,0.526,3.589,2.64,4.688
2009,108,"CThomas",3.494,0.53,3.462,2.519,4.596
2010,108,"CThomas",3.335,0.55,3.303,2.338,4.499
2011,108,"CThomas",3.323,0.541,3.278,2.339,4.475
2012,108,"CThomas",3.302,0.548,3.266,2.316,4.508
2013,108,"CThomas",3.357,0.551,3.328,2.379,4.535
2014,108,"CThomas",3.387,0.558,3.353,2.396,4.557
2015,108,"CThomas",3.451,0.574,3.417,2.44,4.671
2016,108,"CThomas",3.51,0.586,3.475,2.46,4.763
2017,108,"CThomas",3.504,0.608,3.465,2.447,4.793
2018,108,"CThomas",3.606,0.623,3.566,2.513,4.911
2019,108,"CThomas",3.691,0.654,3.658,2.521,5.091
1990,107,"DHSouter",0.968,0.224,0.963,0.547,1.43
1991,107,"DHSouter",0.605,0.189,0.604,0.25,0.992
1992,107,"DHSouter",0.257,0.187,0.26,-0.116,0.629
1993,107,"DHSouter",-0.235,0.194,-0.236,-0.61,0.143
1994,107,"DHSouter",-0.336,0.195,-0.332,-0.727,0.045
1995,107,"DHSouter",-0.38,0.195,-0.377,-0.765,0.003
1996,107,"DHSouter",-0.321,0.198,-0.319,-0.713,0.069
1997,107,"DHSouter",-0.418,0.21,-0.41,-0.843,-0.016
1998,107,"DHSouter",-0.484,0.208,-0.48,-0.905,-0.094
1999,107,"DHSouter",-0.934,0.22,-0.932,-1.375,-0.509
2000,107,"DHSouter",-1.21,0.243,-1.202,-1.709,-0.755
2001,107,"DHSouter",-1.397,0.262,-1.392,-1.94,-0.903
2002,107,"DHSouter",-1.514,0.283,-1.507,-2.079,-0.966
2003,107,"DHSouter",-1.66,0.287,-1.655,-2.239,-1.111
2004,107,"DHSouter",-1.613,0.291,-1.602,-2.207,-1.065
2005,107,"DHSouter",-1.526,0.282,-1.52,-2.097,-0.987
2006,107,"DHSouter",-1.422,0.279,-1.414,-1.976,-0.893
2007,107,"DHSouter",-1.495,0.294,-1.482,-2.104,-0.949
2008,107,"DHSouter",-1.562,0.321,-1.548,-2.214,-0.944
2010,114,"EKagan",-1.431,0.332,-1.422,-2.131,-0.814
2011,114,"EKagan",-1.411,0.305,-1.397,-2.046,-0.834
2012,114,"EKagan",-1.654,0.301,-1.643,-2.254,-1.101
2013,114,"EKagan",-1.615,0.319,-1.609,-2.248,-1.01
2014,114,"EKagan",-1.66,0.31,-1.647,-2.288,-1.078
2015,114,"EKagan",-1.541,0.316,-1.531,-2.183,-0.946
2016,114,"EKagan",-1.579,0.318,-1.575,-2.239,-0.982
2017,114,"EKagan",-1.623,0.303,-1.612,-2.227,-1.042
2018,114,"EKagan",-1.617,0.326,-1.607,-2.288,-1.026
2019,114,"EKagan",-1.693,0.373,-1.677,-2.461,-0.995
1953,90,"EWarren",0.001,0.22,0.004,-0.445,0.426
1954,90,"EWarren",-0.465,0.212,-0.461,-0.878,-0.061
1955,90,"EWarren",-1.085,0.223,-1.084,-1.529,-0.645
1956,90,"EWarren",-1.327,0.219,-1.322,-1.776,-0.905
1957,90,"EWarren",-1.611,0.223,-1.606,-2.068,-1.191
1958,90,"EWarren",-1.662,0.233,-1.661,-2.136,-1.217
1959,90,"EWarren",-1.568,0.235,-1.562,-2.05,-1.124
1960,90,"EWarren",-1.455,0.232,-1.45,-1.926,-1.018
1961,90,"EWarren",-1.572,0.236,-1.564,-2.047,-1.115
1962,90,"EWarren",-1.518,0.225,-1.515,-1.97,-1.093
1963,90,"EWarren",-1.464,0.219,-1.457,-1.911,-1.05
1964,90,"EWarren",-1.293,0.24,-1.289,-1.777,-0.838
1965,90,"EWarren",-1.289,0.223,-1.282,-1.727,-0.867
1966,90,"EWarren",-1.215,0.207,-1.211,-1.625,-0.829
1967,90,"EWarren",-1.283,0.216,-1.278,-1.732,-0.889
1968,90,"EWarren",-1.311,0.265,-1.303,-1.856,-0.825
1938,80,"FFrankfurter",-1.355,0.32,-1.345,-1.984,-0.757
1939,80,"FFrankfurter",-1.252,0.249,-1.241,-1.781,-0.794
1940,80,"FFrankfurter",-0.722,0.204,-0.72,-1.132,-0.328
1941,80,"FFrankfurter",0.103,0.191,0.1,-0.264,0.488
1942,80,"FFrankfurter",0.47,0.182,0.466,0.122,0.836
1943,80,"FFrankfurter",0.615,0.182,0.611,0.268,0.978
1944,80,"FFrankfurter",0.515,0.178,0.51,0.179,0.879
1945,80,"FFrankfurter",0.654,0.214,0.647,0.247,1.078
1946,80,"FFrankfurter",1.041,0.206,1.04,0.643,1.449
1947,80,"FFrankfurter",0.954,0.202,0.955,0.568,1.36
1948,80,"FFrankfurter",0.64,0.189,0.635,0.284,1.028
1949,80,"FFrankfurter",0.37,0.267,0.353,-0.116,0.942
1950,80,"FFrankfurter",0.188,0.2,0.19,-0.207,0.587
1951,80,"FFrankfurter",0.024,0.185,0.027,-0.327,0.402
1952,80,"FFrankfurter",0.008,0.164,0.012,-0.312,0.329
1953,80,"FFrankfurter",0.354,0.193,0.35,-0.025,0.726
1954,80,"FFrankfurter",0.318,0.197,0.317,-0.066,0.717
1955,80,"FFrankfurter",0.592,0.196,0.588,0.211,0.981
1956,80,"FFrankfurter",0.926,0.192,0.917,0.57,1.311
1957,80,"FFrankfurter",1.194,0.203,1.191,0.805,1.609
1958,80,"FFrankfurter",1.497,0.237,1.488,1.06,1.985
1959,80,"FFrankfurter",1.78,0.25,1.773,1.305,2.296
1960,80,"FFrankfurter",1.792,0.286,1.778,1.277,2.394
1961,80,"FFrankfurter",1.792,0.365,1.785,1.114,2.535
1939,82,"FMurphy",-1.612,0.349,-1.601,-2.312,-0.935
1940,82,"FMurphy",-1.571,0.292,-1.566,-2.176,-1.03
1941,82,"FMurphy",-1.522,0.264,-1.511,-2.064,-1.027
1942,82,"FMurphy",-1.665,0.258,-1.658,-2.195,-1.186
1943,82,"FMurphy",-1.722,0.255,-1.715,-2.241,-1.241
1944,82,"FMurphy",-1.431,0.244,-1.426,-1.937,-0.983
1945,82,"FMurphy",-1.395,0.266,-1.388,-1.926,-0.887
1946,82,"FMurphy",-1.775,0.259,-1.764,-2.307,-1.298
1947,82,"FMurphy",-1.686,0.271,-1.671,-2.246,-1.183
1948,82,"FMurphy",-1.513,0.297,-1.497,-2.142,-0.987
1946,87,"FMVinson",0.417,0.191,0.415,0.056,0.792
1947,87,"FMVinson",0.544,0.184,0.538,0.191,0.923
1948,87,"FMVinson",0.878,0.203,0.867,0.498,1.295
1949,87,"FMVinson",1.113,0.279,1.116,0.554,1.653
1950,87,"FMVinson",1.275,0.28,1.264,0.749,1.841
1951,87,"FMVinson",1.54,0.28,1.533,1.017,2.1
1952,87,"FMVinson",1.475,0.322,1.456,0.908,2.162
1937,71,"GSutherland",1.587,0.544,1.564,0.616,2.709
1969,100,"HABlackmun",1.462,0.387,1.455,0.722,2.23
1970,100,"HABlackmun",1.558,0.28,1.547,1.037,2.134
1971,100,"HABlackmun",1.629,0.231,1.625,1.197,2.108
1972,100,"HABlackmun",1.441,0.204,1.44,1.053,1.852
1973,100,"HABlackmun",1.301,0.195,1.296,0.926,1.703
1974,100,"HABlackmun",1.032,0.202,1.029,0.653,1.432
1975,100,"HABlackmun",0.848,0.174,0.844,0.528,1.198
1976,100,"HABlackmun",0.676,0.164,0.673,0.358,1.015
1977,100,"HABlackmun",0.322,0.173,0.319,-0.009,0.66
1978,100,"HABlackmun",0.144,0.155,0.146,-0.158,0.445
1979,100,"HABlackmun",-0.047,0.147,-0.046,-0.339,0.245
1980,100,"HABlackmun",-0.077,0.159,-0.075,-0.394,0.233
1981,100,"HABlackmun",-0.243,0.152,-0.243,-0.54,0.058
1982,100,"HABlackmun",-0.3,0.155,-0.299,-0.604,0.006
1983,100,"HABlackmun",0.029,0.15,0.031,-0.266,0.317
1984,100,"HABlackmun",-0.075,0.161,-0.074,-0.403,0.24
1985,100,"HABlackmun",-0.691,0.167,-0.689,-1.028,-0.373
1986,100,"HABlackmun",-0.828,0.17,-0.825,-1.185,-0.509
1987,100,"HABlackmun",-0.888,0.196,-0.883,-1.293,-0.512
1988,100,"HABlackmun",-0.924,0.187,-0.92,-1.298,-0.575
1989,100,"HABlackmun",-0.857,0.184,-0.854,-1.219,-0.501
1990,100,"HABlackmun",-1.181,0.217,-1.174,-1.613,-0.769
1991,100,"HABlackmun",-1.437,0.257,-1.43,-1.963,-0.934
1992,100,"HABlackmun",-1.647,0.297,-1.64,-2.247,-1.086
1993,100,"HABlackmun",-1.931,0.349,-1.92,-2.667,-1.277
1937,74,"HFStone",-0.767,0.256,-0.76,-1.29,-0.278
1938,74,"HFStone",-0.693,0.216,-0.683,-1.128,-0.291
1939,74,"HFStone",-0.617,0.202,-0.616,-1.024,-0.24
1940,74,"HFStone",-0.217,0.191,-0.217,-0.597,0.157
1941,74,"HFStone",0.456,0.191,0.454,0.08,0.842
1942,74,"HFStone",0.38,0.18,0.381,0.031,0.738
1943,74,"HFStone",0.242,0.177,0.236,-0.101,0.596
1944,74,"HFStone",0.589,0.181,0.586,0.237,0.947
1945,74,"HFStone",0.73,0.273,0.725,0.206,1.276
1945,86,"HHBurton",0.513,0.239,0.509,0.055,1.006
1946,86,"HHBurton",0.531,0.187,0.524,0.178,0.913
1947,86,"HHBurton",0.827,0.198,0.821,0.441,1.232
1948,86,"HHBurton",0.942,0.206,0.936,0.556,1.364
1949,86,"HHBurton",0.949,0.269,0.945,0.424,1.485
1950,86,"HHBurton",0.98,0.237,0.979,0.526,1.455
1951,86,"HHBurton",0.942,0.225,0.933,0.52,1.384
1952,86,"HHBurton",1.27,0.231,1.265,0.839,1.74
1953,86,"HHBurton",1.331,0.249,1.322,0.855,1.833
1954,86,"HHBurton",1.273,0.25,1.266,0.798,1.773
1955,86,"HHBurton",1.265,0.227,1.257,0.834,1.725
1956,86,"HHBurton",1.158,0.209,1.153,0.772,1.584
1957,86,"HHBurton",1.023,0.208,1.019,0.632,1.45
1958,86,"HHBurton",1.078,0.37,1.076,0.36,1.807
1937,78,"HLBlack",-2.91,0.33,-2.909,-3.578,-2.268
1938,78,"HLBlack",-3.228,0.353,-3.228,-3.934,-2.546
1939,78,"HLBlack",-3.317,0.386,-3.309,-4.091,-2.584
1940,78,"HLBlack",-3.35,0.385,-3.342,-4.121,-2.613
1941,78,"HLBlack",-3.279,0.383,-3.272,-4.051,-2.543
1942,78,"HLBlack",-3.064,0.376,-3.064,-3.829,-2.348
1943,78,"HLBlack",-2.73,0.368,-2.729,-3.473,-2.047
1944,78,"HLBlack",-2.555,0.346,-2.543,-3.27,-1.911
1945,78,"HLBlack",-2.158,0.34,-2.149,-2.852,-1.513
1946,78,"HLBlack",-1.957,0.299,-1.949,-2.557,-1.413
1947,78,"HLBlack",-1.794,0.282,-1.783,-2.381,-1.276
1948,78,"HLBlack",-1.585,0.279,-1.567,-2.172,-1.078
1949,78,"HLBlack",-1.524,0.336,-1.518,-2.201,-0.894
1950,78,"HLBlack",-1.499,0.299,-1.488,-2.119,-0.956
1951,78,"HLBlack",-1.367,0.263,-1.354,-1.912,-0.885
1952,78,"HLBlack",-1.103,0.234,-1.094,-1.591,-0.675
1953,78,"HLBlack",-1.482,0.264,-1.471,-2.024,-0.986
1954,78,"HLBlack",-1.623,0.286,-1.612,-2.207,-1.084
1955,78,"HLBlack",-1.97,0.291,-1.962,-2.554,-1.412
1956,78,"HLBlack",-2.185,0.281,-2.175,-2.763,-1.658
1957,78,"HLBlack",-2.253,0.268,-2.239,-2.793,-1.754
1958,78,"HLBlack",-2.093,0.276,-2.083,-2.65,-1.575
1959,78,"HLBlack",-2.061,0.271,-2.049,-2.618,-1.551
1960,78,"HLBlack",-1.943,0.266,-1.94,-2.482,-1.44
1961,78,"HLBlack",-1.875,0.268,-1.87,-2.41,-1.368
1962,78,"HLBlack",-1.765,0.244,-1.761,-2.25,-1.3
1963,78,"HLBlack",-1.488,0.22,-1.482,-1.925,-1.078
1964,78,"HLBlack",-0.94,0.225,-0.936,-1.409,-0.507
1965,78,"HLBlack",-0.564,0.186,-0.564,-0.934,-0.219
1966,78,"HLBlack",-0.414,0.154,-0.415,-0.717,-0.114
1967,78,"HLBlack",-0.099,0.142,-0.098,-0.381,0.176
1968,78,"HLBlack",0.1,0.169,0.101,-0.23,0.429
1969,78,"HLBlack",0.089,0.174,0.087,-0.254,0.429
1970,78,"HLBlack",-0.006,0.179,-0.004,-0.366,0.34
1937,67,"JCMcReynolds",3.448,0.548,3.425,2.457,4.623
1938,67,"JCMcReynolds",3.574,0.561,3.546,2.571,4.758
1939,67,"JCMcReynolds",3.543,0.617,3.509,2.446,4.858
1940,67,"JCMcReynolds",3.363,0.724,3.336,2.029,4.87
1941,83,"JFByrnes",-0.188,0.235,-0.185,-0.65,0.271
2005,111,"JGRoberts",1.396,0.336,1.39,0.762,2.075
2006,111,"JGRoberts",1.428,0.281,1.42,0.893,1.998
2007,111,"JGRoberts",1.418,0.277,1.408,0.89,1.974
2008,111,"JGRoberts",1.503,0.268,1.498,0.999,2.053
2009,111,"JGRoberts",1.394,0.269,1.388,0.883,1.941
2010,111,"JGRoberts",1.407,0.267,1.4,0.909,1.941
2011,111,"JGRoberts",1.216,0.26,1.207,0.721,1.736
2012,111,"JGRoberts",1.117,0.246,1.107,0.649,1.626
2013,111,"JGRoberts",0.806,0.255,0.803,0.32,1.318
2014,111,"JGRoberts",0.601,0.225,0.593,0.175,1.055
2015,111,"JGRoberts",0.335,0.236,0.332,-0.131,0.815
2016,111,"JGRoberts",0.348,0.227,0.342,-0.073,0.798
2017,111,"JGRoberts",0.394,0.214,0.391,-0.004,0.825
2018,111,"JGRoberts",0.375,0.223,0.373,-0.051,0.826
2019,111,"JGRoberts",0.216,0.252,0.215,-0.265,0.712
1954,91,"JHarlan2",0.851,0.324,0.839,0.231,1.518
1955,91,"JHarlan2",1.062,0.243,1.056,0.601,1.565
1956,91,"JHarlan2",1.231,0.214,1.225,0.833,1.666
1957,91,"JHarlan2",1.331,0.211,1.326,0.935,1.755
1958,91,"JHarlan2",1.494,0.237,1.489,1.038,1.973
1959,91,"JHarlan2",1.64,0.244,1.635,1.18,2.15
1960,91,"JHarlan2",1.9,0.275,1.891,1.388,2.452
1961,91,"JHarlan2",2.281,0.296,2.276,1.717,2.89
1962,91,"JHarlan2",2.568,0.306,2.562,1.986,3.199
1963,91,"JHarlan2",2.66,0.306,2.651,2.088,3.259
1964,91,"JHarlan2",2.441,0.326,2.431,1.82,3.087
1965,91,"JHarlan2",2.35,0.298,2.345,1.792,2.946
1966,91,"JHarlan2",2.04,0.264,2.031,1.547,2.586
1967,91,"JHarlan2",1.47,0.221,1.467,1.06,1.928
1968,91,"JHarlan2",0.766,0.206,0.76,0.383,1.188
1969,91,"JHarlan2",0.689,0.198,0.685,0.314,1.101
1970,91,"JHarlan2",0.775,0.217,0.763,0.372,1.216
1975,103,"JPStevens",0.083,0.195,0.086,-0.3,0.463
1976,103,"JPStevens",-0.176,0.15,-0.17,-0.481,0.113
1977,103,"JPStevens",-0.081,0.16,-0.082,-0.391,0.228
1978,103,"JPStevens",-0.302,0.157,-0.303,-0.615,-0.005
1979,103,"JPStevens",-0.243,0.154,-0.243,-0.547,0.057
1980,103,"JPStevens",-0.224,0.161,-0.225,-0.54,0.095
1981,103,"JPStevens",-0.22,0.154,-0.221,-0.525,0.079
1982,103,"JPStevens",-0.531,0.162,-0.53,-0.854,-0.218
1983,103,"JPStevens",-0.508,0.158,-0.506,-0.816,-0.207
1984,103,"JPStevens",-0.463,0.167,-0.46,-0.802,-0.147
1985,103,"JPStevens",-0.457,0.161,-0.454,-0.775,-0.15
1986,103,"JPStevens",-0.594,0.16,-0.591,-0.909,-0.286
1987,103,"JPStevens",-0.485,0.177,-0.485,-0.832,-0.144
1988,103,"JPStevens",-0.583,0.173,-0.579,-0.932,-0.252
1989,103,"JPStevens",-0.997,0.2,-0.988,-1.395,-0.617
1990,103,"JPStevens",-1.725,0.255,-1.725,-2.247,-1.233
1991,103,"JPStevens",-2.163,0.308,-2.153,-2.788,-1.585
1992,103,"JPStevens",-2.37,0.348,-2.36,-3.092,-1.727
1993,103,"JPStevens",-2.579,0.382,-2.563,-3.338,-1.849
1994,103,"JPStevens",-3.003,0.389,-2.988,-3.801,-2.272
1995,103,"JPStevens",-3.266,0.401,-3.253,-4.101,-2.519
1996,103,"JPStevens",-3.392,0.414,-3.383,-4.25,-2.615
1997,103,"JPStevens",-3.361,0.43,-3.348,-4.233,-2.562
1998,103,"JPStevens",-3.379,0.432,-3.366,-4.269,-2.564
1999,103,"JPStevens",-3.319,0.437,-3.309,-4.233,-2.508
2000,103,"JPStevens",-3.143,0.449,-3.132,-4.064,-2.31
2001,103,"JPStevens",-3.036,0.449,-3.013,-3.967,-2.231
2002,103,"JPStevens",-2.924,0.452,-2.91,-3.864,-2.08
2003,103,"JPStevens",-2.914,0.443,-2.9,-3.809,-2.094
2004,103,"JPStevens",-2.909,0.434,-2.898,-3.807,-2.094
2005,103,"JPStevens",-2.858,0.442,-2.841,-3.761,-2.005
2006,103,"JPStevens",-2.817,0.445,-2.797,-3.73,-1.978
2007,103,"JPStevens",-2.691,0.471,-2.665,-3.669,-1.84
2008,103,"JPStevens",-2.85,0.475,-2.819,-3.846,-1.998
2009,103,"JPStevens",-2.862,0.535,-2.841,-3.976,-1.88
1937,68,"LDBrandeis",-0.603,0.267,-0.597,-1.139,-0.107
1938,68,"LDBrandeis",-0.613,0.309,-0.601,-1.249,-0.028
1971,101,"LFPowell",1.398,0.256,1.392,0.914,1.913
1972,101,"LFPowell",1.175,0.197,1.169,0.801,1.575
1973,101,"LFPowell",1.16,0.193,1.156,0.796,1.551
1974,101,"LFPowell",1.099,0.206,1.097,0.698,1.504
1975,101,"LFPowell",0.926,0.178,0.925,0.586,1.287
1976,101,"LFPowell",0.677,0.165,0.672,0.371,1.01
1977,101,"LFPowell",0.46,0.174,0.458,0.124,0.805
1978,101,"LFPowell",0.833,0.182,0.829,0.486,1.196
1979,101,"LFPowell",0.823,0.175,0.82,0.495,1.177
1980,101,"LFPowell",0.872,0.189,0.865,0.512,1.248
1981,101,"LFPowell",1.034,0.186,1.029,0.682,1.413
1982,101,"LFPowell",1.255,0.199,1.248,0.887,1.655
1983,101,"LFPowell",1.127,0.198,1.12,0.746,1.527
1984,101,"LFPowell",0.851,0.201,0.85,0.47,1.252
1985,101,"LFPowell",0.94,0.18,0.935,0.601,1.296
1986,101,"LFPowell",0.883,0.184,0.882,0.536,1.254
2016,115,"NMGorsuch",1.117,0.359,1.111,0.444,1.827
2017,115,"NMGorsuch",1.037,0.274,1.031,0.522,1.598
2018,115,"NMGorsuch",0.939,0.263,0.937,0.446,1.468
2019,115,"NMGorsuch",0.836,0.292,0.831,0.281,1.426
1937,76,"OJRoberts",0.018,0.226,0.015,-0.415,0.458
1938,76,"OJRoberts",0.356,0.2,0.353,-0.031,0.75
1939,76,"OJRoberts",1.006,0.223,1.004,0.588,1.46
1940,76,"OJRoberts",1.646,0.271,1.638,1.135,2.199
1941,76,"OJRoberts",1.858,0.314,1.844,1.272,2.501
1942,76,"OJRoberts",2.105,0.335,2.091,1.483,2.798
1943,76,"OJRoberts",2.426,0.367,2.413,1.755,3.175
